,taxdoug_2016,view_transgender_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,affirmact_gen_2016,immi_contribution_2016,police_threat_2016,pid3_2016,gvmt_involment_2016,wealth_2016,policies_favor_2016,obamaapp_2016,healthreformbill_2016,presvote16post_2016
6830,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6831,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Don't know,Favor,Mostly a drain,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Jill Stein
6832,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Neither,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Strongly Disapprove,Repealed,Donald Trump
6833,Don't know,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Don't know,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Strongly Disapprove,Repealed,
6834,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Men have more opportunities than women,Oppose,Mostly make a contribution,Isolated incidents,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor blacks over whites,Strongly Approve,Kept the same,Hillary Clinton
6835,Don't know,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6836,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men and women have equal opportunities,Don't know,Don't know,Don't know,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Kept the same,Hillary Clinton
6837,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6838,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Favor blacks over whites,Strongly Disapprove,Repealed,Gary Johnson
6839,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Women have more opportunities than men,Oppose,Mostly a drain,Part of a broader pattern,Independent,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Strongly Disapprove,Repealed,Donald Trump
6840,Don't know,Don't know,Strongly agree,Men have more opportunities than women,Don't know,Don't know,Don't know,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Don't know,Strongly Approve,Don't know,Other
6841,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6842,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6843,Yes,Don't know,Agree,Men and women have equal opportunities,Favor,Neither,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6844,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6845,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Don't know,Mostly a drain,Isolated incidents,Republican,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6846,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Part of a broader pattern,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6847,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Kept the same,Hillary Clinton
6848,No,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Oppose,Neither,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6849,Yes,Should be required to use the restrooms of the gender they were born into,Strongly disagree,Men and women have equal opportunities,Favor,Neither,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Strongly Disapprove,Expanded,Donald Trump
6850,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
