Unnamed: 0,healthreformbill_2016,wealth_2016,gvmt_involment_2016,police_threat_2016,obamaapp_2016,view_transgender_2016,affirmact_gen_2016,policies_favor_2016,taxdoug_2016,immi_contribution_2016,pid3_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,presvote16post_2016
0,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Don't know,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly disagree,Don't know,Hillary Clinton
1,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Treat both groups the same,No,Neither,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
2,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Strongly disagree,Men have more opportunities than women,Hillary Clinton
3,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Favor whites over blacks,Yes,Mostly make a contribution,Independent,Strongly disagree,Women have more opportunities than men,Gary Johnson
4,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Don't know,No,Mostly a drain,Republican,Strongly agree,Women have more opportunities than men,Donald Trump
5,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
6,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be required to use the restrooms of the gender they were born into,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly agree,Men have more opportunities than women,Hillary Clinton
7,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Republican,Agree,Men and women have equal opportunities,Donald Trump
8,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
9,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
10,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
11,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Don't know,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly disagree,Men have more opportunities than women,Hillary Clinton
12,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
13,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
14,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Strongly disagree,Men have more opportunities than women,Hillary Clinton
15,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Favor whites over blacks,Yes,Mostly make a contribution,Independent,Agree,Men have more opportunities than women,Hillary Clinton
16,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Don't know,Treat both groups the same,Yes,Neither,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
17,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Don't know,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Women have more opportunities than men,Donald Trump
18,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
19,Expanded,Don't know,Don't know,Isolated incidents,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Don't know,Mostly a drain,Democrat,Disagree,Men and women have equal opportunities,Hillary Clinton
20,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Women have more opportunities than men,Donald Trump
21,Kept the same,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Neither,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
22,Don't know,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Yes,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
23,Don't know,Distribution is fair,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,No,Mostly make a contribution,Independent,Disagree,Men and women have equal opportunities,Other
24,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
25,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
26,Expanded,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,No,Mostly make a contribution,Independent,Agree,Men have more opportunities than women,Gary Johnson
27,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Don't know,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
28,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
29,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Yes,Neither,Independent,Agree,Men and women have equal opportunities,Hillary Clinton
30,Expanded,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Approve,Should be required to use the restrooms of the gender they were born into,Favor,Treat both groups the same,Yes,Mostly make a contribution,Republican,Disagree,Men have more opportunities than women,Hillary Clinton
31,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Don't know,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
32,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
33,Repealed,Should be more evenly distributed,Don't know,Don't know,Somewhat Approve,Should be required to use the restrooms of the gender they were born into,Don't know,Treat both groups the same,No,Mostly a drain,Republican,Disagree,Men have more opportunities than women,Donald Trump
34,Expanded,Distribution is fair,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
36,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
37,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Don't know,Oppose,Treat both groups the same,No,Don't know,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
38,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
39,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
40,Expanded,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
41,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Don't know,No,Mostly a drain,Republican,Agree,Men and women have equal opportunities,Donald Trump
42,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Agree,Women have more opportunities than men,Donald Trump
43,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
44,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
45,Kept the same,Don't know,Don't know,Don't know,Somewhat Approve,Should be required to use the restrooms of the gender they were born into,Don't know,Favor whites over blacks,Yes,Don't know,Republican,Strongly agree,Don't know,Donald Trump
46,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Don't know,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly agree,Don't know,Hillary Clinton
47,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be required to use the restrooms of the gender they were born into,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
48,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Independent,Agree,Men and women have equal opportunities,Donald Trump
49,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
50,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly disagree,Men have more opportunities than women,Hillary Clinton
51,Expanded,Distribution is fair,We need a strong government to handle today's complex economic problems,Don't know,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Don't know,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly agree,Men have more opportunities than women,Hillary Clinton
52,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Don't know,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly agree,Men have more opportunities than women,Hillary Clinton
53,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Disagree,Men have more opportunities than women,Donald Trump
54,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Don't know,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
55,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
56,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
57,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Don't know,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Don't know,Don't know,Yes,Neither,Democrat,Disagree,Men and women have equal opportunities,Hillary Clinton
58,Kept the same,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Don't know,Don't know,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
59,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Favor whites over blacks,Yes,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
60,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly disagree,Men have more opportunities than women,Hillary Clinton
61,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Don't know,Treat both groups the same,Yes,Neither,Independent,Agree,Men have more opportunities than women,Hillary Clinton
62,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Agree,Men and women have equal opportunities,Donald Trump
63,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
64,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
65,Expanded,Should be more evenly distributed,Don't know,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Don't know,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
66,Don't know,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Independent,Agree,Men and women have equal opportunities,Hillary Clinton
67,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
68,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
69,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Agree,Men have more opportunities than women,Hillary Clinton
70,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
71,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
72,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Don't know,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
73,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Yes,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
74,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Don't know,Don't know,Mostly a drain,Independent,Strongly agree,Men have more opportunities than women,Donald Trump
75,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
76,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
77,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Yes,Don't know,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
78,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Yes,Neither,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
79,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Women have more opportunities than men,Donald Trump
80,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
81,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Favor whites over blacks,Don't know,Neither,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
82,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Approve,Don't know,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
83,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Don't know,Oppose,Treat both groups the same,Yes,Neither,Independent,Agree,Men have more opportunities than women,Hillary Clinton
84,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Strongly disagree,Men and women have equal opportunities,Hillary Clinton
85,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Treat both groups the same,Don't know,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
86,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Favor blacks over whites,Don't know,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
87,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Favor whites over blacks,Yes,Mostly make a contribution,Other,Disagree,Men have more opportunities than women,Hillary Clinton
88,Expanded,Should be more evenly distributed,Don't know,Isolated incidents,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Don't know,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
89,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly make a contribution,Republican,Disagree,Men and women have equal opportunities,Other
90,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
91,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
92,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Yes,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
93,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly disagree,Men have more opportunities than women,Hillary Clinton
94,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Approve,Don't know,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Republican,Agree,Men have more opportunities than women,Donald Trump
95,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
96,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Don't know,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
97,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Strongly disagree,Men have more opportunities than women,Hillary Clinton
98,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
99,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Jill Stein
100,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men and women have equal opportunities,Hillary Clinton
101,Expanded,Distribution is fair,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly disagree,Men have more opportunities than women,Hillary Clinton
103,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men have more opportunities than women,Donald Trump
104,Don't know,Don't know,We need a strong government to handle today's complex economic problems,Isolated incidents,Somewhat Disapprove,Don't know,Oppose,Don't know,No,Mostly make a contribution,Independent,Agree,Women have more opportunities than men,Evan McMullin
105,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
106,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly disagree,Men have more opportunities than women,Hillary Clinton
108,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
