Unnamed: 0,healthreformbill_2016,wealth_2016,gvmt_involment_2016,police_threat_2016,obamaapp_2016,view_transgender_2016,affirmact_gen_2016,policies_favor_2016,taxdoug_2016,immi_contribution_2016,pid3_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,presvote16post_2016
7754,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Approve,Should be required to use the restrooms of the gender they were born into,Don't know,Favor blacks over whites,No,Mostly make a contribution,Republican,Agree,Men and women have equal opportunities,Hillary Clinton
7756,Don't know,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Approve,Don't know,Don't know,Treat both groups the same,Yes,Mostly a drain,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
7757,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
7758,Expanded,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Approve,Should be required to use the restrooms of the gender they were born into,Don't know,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
7759,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
7760,Repealed,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Favor blacks over whites,Yes,Mostly a drain,Not sure,Strongly agree,Men and women have equal opportunities,Donald Trump
7761,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Yes,Mostly a drain,Democrat,Strongly agree,Men have more opportunities than women,Jill Stein
7762,Repealed,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Treat both groups the same,Don't know,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
7763,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Neither,Other,Agree,Don't know,Donald Trump
7764,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Yes,Neither,Democrat,Strongly agree,Men and women have equal opportunities,Hillary Clinton
