,teapartsup_baseline,track_baseline,healthtaxch3_baseline,obamaapp_baseline,post_pid3_2012,envwarm_baseline,taxwealth_baseline,healthreformbill_baseline,presvote16post_2016
1322,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
1323,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
1324,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1325,"Neither support, nor oppose",Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Donald Trump
1326,Strongly oppose,Not sure,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1327,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
1328,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1329,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1330,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1331,Somewhat oppose,Not sure,Pay more,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
1332,Strongly oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1333,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1334,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Probably is not happening,Favor,Repealed,Hillary Clinton
1335,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1336,Somewhat support,Not sure,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Kept the same,
1337,Strongly oppose,Off on the wrong track,About the same,Somewhat Disapprove,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1338,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Oppose,Repealed,Gary Johnson
1339,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1340,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1341,Strongly oppose,Not sure,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1342,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1343,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Other
1344,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1345,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
1346,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Not sure,Jill Stein
1347,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1348,Strongly oppose,Off on the wrong track,Not sure,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1349,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
1350,Somewhat oppose,Off on the wrong track,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1351,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,
1352,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Not sure,Repealed,Donald Trump
1353,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Definitely is happening,Favor,Repealed,Donald Trump
1354,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
1355,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1356,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Other
1357,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1358,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
1359,Strongly oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1360,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1361,Strongly oppose,Not sure,About the same,Strongly Approve,Democrat,Definitely is happening,Not sure,Expanded,Hillary Clinton
1362,Somewhat oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Jill Stein
1363,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Other
1364,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1365,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
1366,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1367,Somewhat support,Off on the wrong track,About the same,Somewhat Approve,Independent,Probably is happening,Favor,Expanded,Gary Johnson
1368,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
1369,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Favor,Repealed,Evan McMullin
1370,Strongly oppose,Off on the wrong track,About the same,Somewhat Disapprove,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
1371,Strongly oppose,Off on the wrong track,Pay less,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1372,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Favor,Repealed,Hillary Clinton
1373,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
1374,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1375,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1376,Not sure,Not sure,Not sure,Not Sure,Independent,Probably is happening,Not sure,Expanded,Donald Trump
1377,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1378,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1379,Strongly oppose,Not sure,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1380,Strongly oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Democrat,Probably is happening,Favor,,Hillary Clinton
1381,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Definitely is happening,Favor,Expanded,Other
1382,Strongly oppose,Off on the wrong track,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1383,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Other,Probably is not happening,Oppose,Repealed,Donald Trump
1384,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Democrat,Probably is not happening,Not sure,Repealed,Hillary Clinton
1385,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1386,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Other,Definitely is happening,Favor,Expanded,Hillary Clinton
1387,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1388,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
1389,"Neither support, nor oppose",Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1390,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1391,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
1392,Strongly oppose,Not sure,About the same,Somewhat Approve,Independent,,Oppose,Expanded,Hillary Clinton
1393,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
1394,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1395,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Favor,Repealed,Donald Trump
1396,Somewhat oppose,Off on the wrong track,Pay less,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1397,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,
1398,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
1399,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1400,Strongly oppose,Not sure,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1401,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1402,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1403,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1404,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
1405,Strongly oppose,Off on the wrong track,Not sure,Strongly Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
1406,Strongly oppose,Off on the wrong track,About the same,Somewhat Disapprove,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1407,Strongly oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1408,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1409,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
1410,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
1411,Strongly oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1412,Strongly oppose,Not sure,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1413,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Gary Johnson
1414,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1415,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1416,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1417,Somewhat oppose,Off on the wrong track,Pay less,Somewhat Approve,Not sure,Definitely is happening,Favor,Expanded,Hillary Clinton
1418,Strongly oppose,Off on the wrong track,Not sure,Strongly Disapprove,Independent,Probably is happening,Favor,Expanded,Jill Stein
1419,"Neither support, nor oppose",Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Donald Trump
1420,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1421,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1422,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
1423,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1424,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
1425,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1426,Strongly oppose,Not sure,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1427,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Not sure,Repealed,Donald Trump
1428,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1429,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1430,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
1431,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1432,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Repealed,Hillary Clinton
1433,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is happening,Favor,Repealed,Donald Trump
1434,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1435,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1436,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1437,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1438,Strongly oppose,Not sure,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Other
1439,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1440,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1441,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Other
1442,Strongly oppose,Generally headed in the right direction,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Repealed,Donald Trump
1443,Strongly oppose,Generally headed in the right direction,Pay less,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1444,Strongly oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is not happening,Oppose,Repealed,Gary Johnson
1445,"Neither support, nor oppose",Off on the wrong track,Not sure,Somewhat Disapprove,Other,Definitely is happening,Not sure,Not sure,Other
1446,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1447,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1448,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
1449,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1450,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1451,Somewhat oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
1452,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1453,Somewhat oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
1454,Somewhat oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
1455,Strongly oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Independent,Probably is happening,Favor,Kept the same,Gary Johnson
1456,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1457,Strongly oppose,Not sure,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1458,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
1459,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1460,Somewhat oppose,Off on the wrong track,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1461,Strongly oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
1462,Strongly oppose,Off on the wrong track,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1463,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1464,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Favor,Repealed,Donald Trump
1465,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
1466,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1467,"Neither support, nor oppose",Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
1468,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
1469,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1470,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1471,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1472,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1473,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1474,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1475,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1476,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Oppose,Repealed,Donald Trump
1477,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
1478,Strongly oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1479,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1480,Somewhat oppose,Not sure,About the same,Somewhat Disapprove,Independent,Definitely is happening,Favor,Not sure,Hillary Clinton
1481,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1482,Strongly oppose,Not sure,Not sure,Strongly Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
1483,Strongly oppose,Not sure,Pay less,Strongly Approve,Democrat,Definitely is happening,Not sure,Expanded,Hillary Clinton
1484,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Hillary Clinton
1485,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Not sure,Not sure,Repealed,
1486,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
1487,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1488,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Jill Stein
1489,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
1490,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Not sure,Not sure,Repealed,
1491,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Gary Johnson
1492,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Oppose,Repealed,Donald Trump
1493,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1494,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Not sure,Oppose,Repealed,Donald Trump
1495,Strongly oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1496,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1497,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Not sure,Not sure,Repealed,Donald Trump
1498,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1499,Strongly oppose,Off on the wrong track,Pay more,Strongly Disapprove,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
1500,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1501,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1502,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1503,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
1504,Somewhat support,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1505,Strongly oppose,Off on the wrong track,Not sure,Somewhat Disapprove,Independent,Probably is happening,Not sure,Not sure,Jill Stein
1506,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1507,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1508,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Gary Johnson
1509,Strongly oppose,Not sure,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1510,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Democrat,Probably is not happening,Favor,Repealed,Hillary Clinton
1511,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1512,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1513,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
1514,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Approve,Other,Definitely is happening,Oppose,Not sure,Donald Trump
1515,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1516,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Favor,Repealed,Donald Trump
1517,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Oppose,Repealed,Other
1518,,Generally headed in the right direction,Pay less,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1519,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
1520,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1521,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Favor,Repealed,Hillary Clinton
1522,Somewhat oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Probably is happening,Favor,Expanded,Donald Trump
1523,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Probably is happening,Oppose,Repealed,Gary Johnson
1524,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1525,Strongly oppose,Off on the wrong track,Pay more,Strongly Approve,Republican,Definitely is happening,Favor,Kept the same,
1526,Somewhat oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Independent,Probably is happening,Favor,Repealed,Hillary Clinton
1527,Strongly oppose,Off on the wrong track,About the same,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1528,Somewhat oppose,Off on the wrong track,About the same,Somewhat Disapprove,Other,Definitely is happening,Favor,Repealed,Other
1529,Strongly oppose,Not sure,Not sure,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1530,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Other,Definitely is not happening,Oppose,Repealed,Other
1531,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1532,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1533,Somewhat oppose,Not sure,Not sure,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
1534,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
1535,Strongly oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1536,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Other
1537,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Not sure,Repealed,Donald Trump
1538,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Not sure,Repealed,Donald Trump
1539,"Neither support, nor oppose",Off on the wrong track,About the same,Somewhat Disapprove,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
1540,Strongly oppose,Not sure,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
