,teapartsup_baseline,track_baseline,healthtaxch3_baseline,obamaapp_baseline,post_pid3_2012,envwarm_baseline,taxwealth_baseline,healthreformbill_baseline,presvote16post_2016
50,Strongly oppose,Not sure,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
51,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
52,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
53,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Democrat,Probably is happening,Not sure,Repealed,Donald Trump
54,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
55,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Not sure,Not sure,Repealed,Donald Trump
56,Strongly oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
57,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
58,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
59,Somewhat oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
60,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
61,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
62,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
63,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
64,Strongly oppose,Not sure,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
65,Somewhat oppose,Not sure,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
66,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Favor,Repealed,Hillary Clinton
67,Somewhat oppose,Off on the wrong track,About the same,Somewhat Disapprove,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
68,Strongly oppose,Not sure,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
69,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
70,Strongly oppose,Not sure,Pay less,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
71,Strongly oppose,Off on the wrong track,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
72,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
73,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Oppose,Repealed,Donald Trump
74,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
75,Strongly oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
76,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
77,Strongly oppose,Not sure,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
78,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
79,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
80,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
81,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
82,"Neither support, nor oppose",Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
83,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Definitely is happening,Favor,Repealed,Hillary Clinton
84,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
85,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
86,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Not sure,Repealed,Donald Trump
87,Strongly oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
88,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Not sure,Favor,Not sure,Hillary Clinton
89,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Other
90,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
91,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
92,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Favor,Repealed,Donald Trump
93,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
94,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Not sure,Favor,Repealed,Donald Trump
95,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Repealed,Donald Trump
96,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
97,Strongly oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
