obamaapp_2016,healthreformbill_2016,univhealthcov_2016,ft_blm_2016,policies_favor_2016,imiss_l_2016,envwarm_2016,immi_muslim_2016,pid3_2016,pp_primary16_2016,ideo5_2016,govt_reg_2016,immi_contribution_2016,wealth_2016,gvmt_involment_2016,ft_fem_2016,police_threat_2016,reverse_discrimination_2016,RIGGED_SYSTEM_4_2016,affirmact_gen_2016,race_slave_2016,race_overcome_2016,view_transgender_2016,RIGGED_SYSTEM_3_2016,ft_unions_2016,presvote16post_2016
Somewhat Disapprove,Expanded,No,12.0,Favor blacks over whites,Very important,Definitely is happening,Somewhat favor,Republican,In the Republican primary,Moderate,About the right amount,Mostly a drain,Don't know,Don't know,69.0,Isolated incidents,Strongly Agree,Agree,Don't know,Agree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,21.0,Donald Trump
Strongly Approve,Expanded,Yes,60.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Liberal,About the right amount,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,97.0,Isolated incidents,Disagree,Agree,Favor,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,69.0,Hillary Clinton
Strongly Approve,Expanded,Yes,98.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,"No, not in either",Very liberal,Don't know,Mostly make a contribution,Don't know,People would be better able to handle today's problems within a free market with less government involvement,52.993479752916954,Part of a broader pattern,Strongly Disagree,Agree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,51.91723549488054,Hillary Clinton
Strongly Disapprove,Repealed,No,0.0,Don't know,Not very important,Probably is happening,Somewhat favor,Republican,"No, not in either",Moderate,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,30.0,Isolated incidents,Agree,Strongly agree,Don't know,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,30.0,Donald Trump
Strongly Disapprove,Repealed,No,10.0,Favor blacks over whites,Not very important,Probably is happening,Strongly favor,Republican,In the Republican primary,Conservative,About the right amount,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,25.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,20.0,Donald Trump
Strongly Disapprove,Repealed,No,3.0,Favor blacks over whites,Not very important,Don't know,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,18.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,26.0,Donald Trump
Strongly Approve,Expanded,Yes,81.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,"No, not in either",Liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,5.0,Part of a broader pattern,Agree,Disagree,Favor,Strongly Agree,Strongly Disagree,Should be required to use the restrooms of the gender they were born into,Strongly agree,79.0,Hillary Clinton
Somewhat Disapprove,Expanded,Yes,0.0,Favor blacks over whites,Not very important,Probably is happening,Strongly favor,Independent,"No, not in either",Moderate,Don't know,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,60.0,Isolated incidents,Agree,Agree,Don't know,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,39.0,Hillary Clinton
Strongly Disapprove,Repealed,Don't know,1.0,Favor blacks over whites,Not very important,Probably is happening,Strongly favor,Republican,"No, not in either",Conservative,Too little,Mostly a drain,Don't know,We need a strong government to handle today's complex economic problems,14.0,Isolated incidents,Agree,Strongly agree,Don't know,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,49.0,Donald Trump
Strongly Disapprove,Repealed,No,10.0,Don't know,Not very important,Probably is not happening,Somewhat favor,Independent,"No, not in either",Conservative,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,14.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,29.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,0.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,0.0,Donald Trump
Strongly Disapprove,Repealed,Don't know,0.0,Favor blacks over whites,Somewhat important,Probably is happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,51.0,Isolated incidents,Agree,Agree,Don't know,Agree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,61.0,Donald Trump
Strongly Disapprove,Repealed,No,60.0,Favor blacks over whites,Somewhat important,Definitely is happening,Strongly favor,Democrat,In the Republican primary,Conservative,Too little,Mostly a drain,Should be more evenly distributed,Don't know,66.0,Don't know,Strongly Agree,Strongly agree,Don't know,Disagree,Strongly Agree,Don't know,Strongly agree,53.0,Donald Trump
Strongly Disapprove,Repealed,No,2.0,Favor blacks over whites,Unimportant,Probably is not happening,Somewhat favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,6.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,6.0,Donald Trump
Strongly Approve,Expanded,Yes,66.0,Treat both groups the same,Very important,Definitely is happening,Don't know,Democrat,"No, not in either",Liberal,About the right amount,Neither,Distribution is fair,We need a strong government to handle today's complex economic problems,92.0,Part of a broader pattern,Strongly Disagree,Strongly disagree,Don't know,Agree,Don't Know,Should be allow to us the restrooms of the gender with which they currently identify,Agree,77.0,Hillary Clinton
Somewhat Disapprove,Repealed,Don't know,60.0,Don't know,Somewhat important,Don't know,Don't know,Republican,In the Republican primary,Moderate,Too much,Don't know,Don't know,People would be better able to handle today's problems within a free market with less government involvement,45.0,Don't know,Don't Know,Strongly agree,Oppose,Disagree,Agree,Don't know,Agree,45.0,Donald Trump
Strongly Approve,Kept the same,Yes,75.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Moderate,About the right amount,Neither,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,77.0,Isolated incidents,Strongly Agree,Disagree,Favor,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,65.0,Hillary Clinton
Strongly Disapprove,Repealed,No,41.045111462173075,Favor blacks over whites,Somewhat important,Probably is happening,Strongly favor,Republican,"Not sure, don't recall",Very conservative,Too much,Mostly a drain,Distribution is fair,Don't know,2.0,Isolated incidents,Agree,Agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,20.0,Donald Trump
Somewhat Approve,Expanded,Don't know,16.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,"No, not in either",Liberal,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,57.0,Part of a broader pattern,Agree,Strongly agree,Favor,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,100.0,Hillary Clinton
Somewhat Disapprove,Repealed,No,9.0,Favor blacks over whites,Very important,Definitely is happening,Somewhat favor,Republican,In the Republican primary,Conservative,About the right amount,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,53.0,Isolated incidents,Strongly Agree,Agree,Oppose,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,51.0,Donald Trump
Strongly Disapprove,Repealed,No,3.0,Favor blacks over whites,Not very important,Probably is not happening,Strongly favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,21.0,Isolated incidents,Agree,Strongly agree,Don't know,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,21.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Treat both groups the same,Unimportant,Probably is not happening,Somewhat favor,Independent,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,21.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,6.0,Donald Trump
Somewhat Disapprove,Repealed,No,58.0,Treat both groups the same,Very important,Definitely is happening,Don't know,Independent,In the Democratic primary,Conservative,Too little,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,48.0,Isolated incidents,Don't Know,Agree,Don't know,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,88.0,Hillary Clinton
Strongly Disapprove,Repealed,No,6.0,Favor blacks over whites,Unimportant,Probably is not happening,Strongly favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,9.0,Isolated incidents,Agree,Strongly agree,Favor,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,50.0,Donald Trump
Strongly Approve,Expanded,Yes,95.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,98.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,94.0,Hillary Clinton
Somewhat Approve,Repealed,No,5.0,Don't know,Somewhat important,Definitely is happening,Somewhat favor,Democrat,In the Democratic primary,Not sure,Don't know,Mostly a drain,Should be more evenly distributed,Don't know,52.993479752916954,Part of a broader pattern,Don't Know,Strongly agree,Favor,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,0.0,Hillary Clinton
Strongly Approve,Kept the same,No,70.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Moderate,Too little,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,60.0,Part of a broader pattern,Disagree,Strongly agree,Favor,Agree,Disagree,Should be required to use the restrooms of the gender they were born into,Strongly agree,70.0,Hillary Clinton
Strongly Approve,Kept the same,Yes,88.0,Treat both groups the same,Somewhat important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,Don't know,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,96.0,Part of a broader pattern,Don't Know,Agree,Don't know,Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,98.0,Hillary Clinton
Strongly Disapprove,Repealed,Yes,31.0,Favor blacks over whites,Very important,Definitely is happening,Somewhat favor,Democrat,In the Democratic primary,Moderate,Too little,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,78.0,Part of a broader pattern,Strongly Agree,Strongly agree,Don't know,Agree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,80.0,Donald Trump
Strongly Approve,Expanded,Yes,72.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,78.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Strongly Disagree,Should be required to use the restrooms of the gender they were born into,Strongly agree,89.0,Hillary Clinton
Strongly Disapprove,Repealed,No,6.0,Favor blacks over whites,Somewhat important,Don't know,Don't know,Republican,In the Republican primary,Conservative,Too little,Don't know,Distribution is fair,We need a strong government to handle today's complex economic problems,56.0,Isolated incidents,Agree,Agree,Favor,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,84.0,Donald Trump
Strongly Approve,Expanded,Yes,100.0,Treat both groups the same,Very important,Don't know,Somewhat oppose,Democrat,In the Democratic primary,Conservative,Don't know,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,69.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Strongly Agree,Strongly Disagree,Should be required to use the restrooms of the gender they were born into,Agree,71.0,Hillary Clinton
Somewhat Approve,Don't know,No,98.0,Treat both groups the same,Very important,Definitely is happening,Don't know,Democrat,In the Democratic primary,Moderate,Too much,Don't know,Should be more evenly distributed,Don't know,77.0,Part of a broader pattern,Disagree,Agree,Favor,Strongly Agree,Disagree,Don't know,Agree,59.0,Hillary Clinton
Strongly Disapprove,Repealed,No,8.0,Favor blacks over whites,Unimportant,Probably is not happening,Strongly favor,Other,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,28.0,Isolated incidents,Agree,Strongly agree,Oppose,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,5.0,Donald Trump
Strongly Approve,Expanded,Yes,86.0,Treat both groups the same,Somewhat important,Don't know,Strongly oppose,Democrat,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,50.0,Part of a broader pattern,Don't Know,Agree,Favor,Agree,Disagree,Don't know,Agree,41.0,Hillary Clinton
Somewhat Disapprove,Repealed,No,48.0,Favor blacks over whites,Somewhat important,Probably is happening,Don't know,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,42.0,Isolated incidents,Agree,Agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,51.0,Donald Trump
Strongly Disapprove,Repealed,Don't know,7.0,Favor blacks over whites,Very important,Probably is happening,Strongly favor,Independent,In the Republican primary,Moderate,Too much,Mostly a drain,Don't know,Don't know,32.0,Isolated incidents,Agree,Agree,Oppose,Disagree,Agree,Don't know,Agree,70.0,Donald Trump
Strongly Disapprove,Don't know,No,31.0,Favor blacks over whites,Not very important,Probably is happening,Somewhat favor,Not sure,"No, not in either",Conservative,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,50.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,53.0,Donald Trump
Somewhat Approve,Don't know,Yes,50.0,Treat both groups the same,Somewhat important,Definitely is happening,Somewhat oppose,Independent,"No, not in either",Moderate,Too little,Neither,Don't know,We need a strong government to handle today's complex economic problems,50.0,Part of a broader pattern,Disagree,Disagree,Don't know,Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,65.0,Hillary Clinton
Somewhat Disapprove,Repealed,Yes,1.0,Favor blacks over whites,Somewhat important,Definitely is happening,Strongly favor,Democrat,"No, not in either",Conservative,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,6.0,Part of a broader pattern,Strongly Agree,Strongly agree,Favor,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,5.0,Hillary Clinton
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Not very important,Probably is not happening,Somewhat favor,Independent,"Not sure, don't recall",Very conservative,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,0.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,21.0,Donald Trump
Strongly Disapprove,Repealed,No,1.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Independent,"No, not in either",Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,31.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,1.0,Donald Trump
Strongly Disapprove,Repealed,No,3.0,Treat both groups the same,Not very important,Probably is not happening,Somewhat favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,50.0,Isolated incidents,Agree,Strongly agree,Don't know,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,6.0,Donald Trump
Somewhat Disapprove,Repealed,No,82.0,Favor blacks over whites,Very important,Definitely is happening,Somewhat oppose,Other,"No, not in either",Not sure,Too little,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,60.0,Isolated incidents,Strongly Agree,Strongly agree,Favor,Strongly Disagree,Strongly Agree,Don't know,Strongly agree,1.0,Donald Trump
Strongly Disapprove,Don't know,Don't know,41.045111462173075,Favor blacks over whites,Unimportant,Probably is not happening,Strongly favor,Independent,"No, not in either",Moderate,Don't know,Mostly a drain,Don't know,Don't know,55.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,80.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Not very important,Probably is not happening,Strongly favor,Democrat,In the Democratic primary,Conservative,Too little,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,1.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,70.0,Donald Trump
Strongly Disapprove,Repealed,No,2.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Independent,"Not sure, don't recall",Moderate,Don't know,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,13.0,Don't know,Strongly Agree,Strongly agree,Oppose,Don't Know,Don't Know,Should be required to use the restrooms of the gender they were born into,Disagree,60.0,Donald Trump
Somewhat Approve,Kept the same,No,14.0,Favor blacks over whites,Somewhat important,Probably is happening,Somewhat favor,Democrat,In the Democratic primary,Liberal,Too little,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,51.0,Don't know,Agree,Agree,Don't know,Strongly Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,69.0,Hillary Clinton
Strongly Approve,Don't know,Don't know,100.0,Treat both groups the same,Somewhat important,Don't know,Somewhat oppose,Democrat,In the Democratic primary,Not sure,Don't know,Neither,Should be more evenly distributed,Don't know,100.0,Part of a broader pattern,Strongly Disagree,Agree,Don't know,Strongly Disagree,Strongly Disagree,Should be required to use the restrooms of the gender they were born into,Agree,100.0,Hillary Clinton
Strongly Disapprove,Don't know,Yes,31.0,Don't know,Somewhat important,Probably is happening,Somewhat oppose,Democrat,"No, not in either",Moderate,Don't know,Mostly a drain,Should be more evenly distributed,Don't know,82.0,Isolated incidents,Agree,Agree,Favor,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,60.0,Hillary Clinton
Somewhat Disapprove,Repealed,Yes,22.0,Don't know,Unimportant,Probably is not happening,Somewhat favor,Republican,In the Republican primary,Moderate,Too much,Neither,Should be more evenly distributed,Don't know,46.0,Isolated incidents,Agree,Strongly agree,Don't know,Strongly Disagree,Agree,Don't know,Agree,85.0,Donald Trump
Strongly Approve,Expanded,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Don't Know,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,87.0,Hillary Clinton
Strongly Approve,Repealed,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Liberal,Don't know,Mostly make a contribution,Should be more evenly distributed,Don't know,98.0,Part of a broader pattern,Disagree,Agree,Favor,Disagree,Disagree,Should be required to use the restrooms of the gender they were born into,Agree,81.0,Hillary Clinton
Strongly Disapprove,Repealed,No,54.0,Favor blacks over whites,Very important,Definitely is happening,Somewhat favor,Republican,In the Republican primary,Conservative,Too much,Neither,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,61.0,Part of a broader pattern,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,11.0,Donald Trump
Strongly Disapprove,Repealed,Yes,21.0,Favor blacks over whites,Somewhat important,Probably is happening,Somewhat oppose,Republican,"No, not in either",Moderate,About the right amount,Don't know,Don't know,People would be better able to handle today's problems within a free market with less government involvement,51.0,Isolated incidents,Agree,Strongly agree,Oppose,Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,51.91723549488054,Donald Trump
Somewhat Approve,Expanded,Yes,10.0,Treat both groups the same,Somewhat important,Definitely is happening,Strongly favor,Independent,"No, not in either",Moderate,Too little,Neither,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,52.0,Part of a broader pattern,Disagree,Strongly agree,Don't know,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,44.0,Hillary Clinton
Strongly Disapprove,Repealed,No,11.0,Don't know,Somewhat important,Probably is happening,Somewhat favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,44.0,Isolated incidents,Don't Know,Agree,Don't know,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,7.0,Donald Trump
Somewhat Disapprove,Repealed,Yes,20.0,Favor blacks over whites,Not very important,Don't know,Don't know,Independent,In the Republican primary,Moderate,About the right amount,Mostly make a contribution,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,61.0,Isolated incidents,Agree,Strongly agree,Don't know,Strongly Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,35.0,Donald Trump
Somewhat Approve,Kept the same,Don't know,100.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,About the right amount,Mostly make a contribution,Should be more evenly distributed,Don't know,86.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,81.0,Hillary Clinton
Strongly Disapprove,Repealed,No,18.0,Treat both groups the same,Somewhat important,Definitely is happening,Strongly favor,Democrat,In the Democratic primary,Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,59.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,55.0,Donald Trump
Somewhat Disapprove,Repealed,No,20.0,Don't know,Very important,Probably is happening,Strongly favor,Independent,"No, not in either",Moderate,Too little,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,52.993479752916954,Don't know,Don't Know,Agree,Don't know,Disagree,Strongly Agree,Don't know,Strongly agree,50.0,Donald Trump
Strongly Disapprove,Repealed,No,4.0,Favor blacks over whites,Unimportant,Definitely is not happening,Somewhat oppose,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,3.0,Isolated incidents,Agree,Strongly agree,Oppose,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,4.0,Donald Trump
Strongly Approve,Expanded,Yes,31.0,Treat both groups the same,Very important,Probably is happening,Don't know,Democrat,In the Democratic primary,Liberal,Don't know,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,68.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Agree,Strongly Disagree,Don't know,Strongly agree,36.0,Hillary Clinton
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Probably is happening,Somewhat favor,Republican,In the Republican primary,Conservative,About the right amount,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,40.0,Isolated incidents,Strongly Agree,Strongly agree,Don't know,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,70.0,Donald Trump
Somewhat Disapprove,Repealed,No,41.045111462173075,Treat both groups the same,Unimportant,Don't know,Don't know,Democrat,"No, not in either",Not sure,Don't know,Don't know,Don't know,We need a strong government to handle today's complex economic problems,99.0,Isolated incidents,Agree,Agree,Don't know,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,100.0,Hillary Clinton
Strongly Disapprove,Repealed,No,25.0,Don't know,Not very important,Probably is happening,Somewhat favor,Republican,In the Republican primary,Conservative,Too much,Neither,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,49.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,50.0,Donald Trump
Strongly Disapprove,Kept the same,No,3.0,Favor blacks over whites,Somewhat important,Don't know,Strongly oppose,Republican,"No, not in either",Moderate,About the right amount,Mostly make a contribution,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,25.0,Don't know,Don't Know,Agree,Don't know,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,30.0,Donald Trump
Strongly Disapprove,Repealed,No,4.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,7.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,7.0,Donald Trump
Strongly Disapprove,Repealed,Don't know,41.045111462173075,Treat both groups the same,Not very important,Probably is happening,Somewhat favor,Republican,"No, not in either",Conservative,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,0.0,Isolated incidents,Don't Know,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,51.91723549488054,Donald Trump
Somewhat Approve,Expanded,Don't know,8.0,Treat both groups the same,Somewhat important,Definitely is happening,Don't know,Democrat,"No, not in either",Moderate,About the right amount,Don't know,Don't know,We need a strong government to handle today's complex economic problems,53.0,Don't know,Agree,Agree,Oppose,Strongly Disagree,Agree,Don't know,Agree,51.91723549488054,Hillary Clinton
Strongly Approve,Kept the same,Don't know,100.0,Treat both groups the same,Somewhat important,Don't know,Strongly oppose,Democrat,In the Democratic primary,Not sure,Don't know,Mostly make a contribution,Don't know,Don't know,99.0,Don't know,Disagree,Agree,Favor,Don't Know,Don't Know,Don't know,Agree,97.0,Hillary Clinton
Strongly Approve,Expanded,Yes,64.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,"No, not in either",Moderate,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,81.0,Part of a broader pattern,Don't Know,Strongly disagree,Don't know,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,60.0,Hillary Clinton
Strongly Approve,Don't know,Yes,80.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Very liberal,Don't know,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,70.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,80.0,Hillary Clinton
