obamaapp_2016,healthreformbill_2016,univhealthcov_2016,ft_blm_2016,policies_favor_2016,imiss_l_2016,envwarm_2016,immi_muslim_2016,pid3_2016,pp_primary16_2016,ideo5_2016,govt_reg_2016,immi_contribution_2016,wealth_2016,gvmt_involment_2016,ft_fem_2016,police_threat_2016,reverse_discrimination_2016,RIGGED_SYSTEM_4_2016,affirmact_gen_2016,race_slave_2016,race_overcome_2016,view_transgender_2016,RIGGED_SYSTEM_3_2016,ft_unions_2016,presvote16post_2016
Strongly Approve,Expanded,Yes,98.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,Too little,Neither,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,80.0,Part of a broader pattern,Strongly Disagree,Agree,Don't know,Strongly Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,97.0,Hillary Clinton
Strongly Approve,Expanded,Yes,91.0,Treat both groups the same,Somewhat important,Definitely is happening,Strongly oppose,Independent,In the Democratic primary,Liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,90.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,89.0,Hillary Clinton
Strongly Approve,Kept the same,Yes,55.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,About the right amount,Neither,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,95.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Disagree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,93.0,Hillary Clinton
Strongly Disapprove,Repealed,No,6.0,Favor blacks over whites,Unimportant,Definitely is not happening,Somewhat favor,Independent,In the Republican primary,Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,12.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,11.0,Donald Trump
Strongly Disapprove,Repealed,No,41.045111462173075,Favor blacks over whites,Unimportant,Probably is not happening,Somewhat favor,Independent,In the Democratic primary,Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,52.993479752916954,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,61.0,Donald Trump
Somewhat Approve,Expanded,Yes,71.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,In the Democratic primary,Moderate,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,97.0,Part of a broader pattern,Disagree,Disagree,Favor,Agree,Don't Know,Don't know,Strongly agree,87.0,Hillary Clinton
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Probably is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,31.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,26.0,Donald Trump
Somewhat Approve,Expanded,Yes,60.0,Treat both groups the same,Very important,Probably is happening,Somewhat favor,Independent,In the Democratic primary,Moderate,About the right amount,Neither,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,61.0,Part of a broader pattern,Disagree,Agree,Oppose,Strongly Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,70.0,Hillary Clinton
Strongly Approve,Expanded,No,3.0,Treat both groups the same,Not very important,Don't know,Strongly oppose,Republican,In the Republican primary,Conservative,Too much,Mostly make a contribution,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,79.0,Isolated incidents,Strongly Disagree,Disagree,Favor,Disagree,Disagree,Should be required to use the restrooms of the gender they were born into,Strongly agree,47.0,Hillary Clinton
Strongly Disapprove,Repealed,No,1.0,Don't know,Unimportant,Probably is happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,10.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,10.0,Donald Trump
Somewhat Approve,Repealed,No,46.0,Treat both groups the same,Somewhat important,Definitely is happening,Somewhat oppose,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Should be more evenly distributed,Don't know,95.0,Don't know,Agree,Disagree,Don't know,Don't Know,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,36.0,Donald Trump
Strongly Approve,Expanded,No,40.0,Treat both groups the same,Somewhat important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,Don't know,Mostly make a contribution,Distribution is fair,We need a strong government to handle today's complex economic problems,44.0,Part of a broader pattern,Don't Know,Agree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,40.0,Hillary Clinton
